PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Ryan Hollins,2015-16,TOT,Roll + Cut Big,460,C,31,-2.2,-2.05,-0.15,0,-1.19,-1.57,0.38
Vincent Poirier,2019-20,BOS,Roll + Cut Big,130,C,26,-2.23,-2.05,-0.17,0,-1.87,-1.87,-0.01
Chris Chiozza,2021-22,GSW,Secondary Ball Handler,372,PG,26,-2.72,-2.05,-0.67,-0.1,-2.54,-1.76,-0.78
Larry Sanders,2013-14,MIL,Post Scorer,584,C,25,0.43,-2.06,2.49,1.1,0.35,-1.52,1.86
Thabo Sefolosha,2015-16,ATL,Athletic Finisher,"1,758",SF,31,-0.48,-2.06,1.58,2.1,-0.36,-1.38,1.02
Jaden McDaniels,2021-22,MIN,Athletic Finisher,"1,803",PF,21,-1.23,-2.06,0.83,1.3,-1.74,-1.79,0.04
Josh Green,2021-22,DAL,Athletic Finisher,"1,039",SG,21,-1.73,-2.06,0.33,0.4,-1.59,-1.89,0.29
Chris Wilcox,2009-10,DET,Post Scorer,441,PF,27,-1.85,-2.06,0.21,0.1,-1.41,-1.79,0.38
Andrew Bogut,2018-19,GSW,Roll + Cut Big,134,C,34,-1.86,-2.06,0.21,0,-1.76,-1.91,0.15
Chris Kaman,2009-10,LAC,Post Scorer,"2,608",C,27,-1.96,-2.06,0.1,0.6,-1.98,-1.44,-0.54
Jerian Grant,2018-19,ORL,Primary Ball Handler,939,PG,26,-2,-2.06,0.05,0.2,-1.07,-1.23,0.15
Joel Freeland,2013-14,POR,Roll + Cut Big,727,C,26,-2.04,-2.06,0.02,0.1,-2.15,-2.23,0.08
Stephen Jackson,2013-14,LAC,Stationary Shooter,107,SF,35,-2.15,-2.06,-0.09,0,-2.66,-2.01,-0.65
Alex Abrines,2018-19,OKC,Movement Shooter,588,SG,25,-2.62,-2.06,-0.56,-0.1,-2.68,-1.96,-0.73
Quincy Pondexter,2010-11,NOH,Stationary Shooter,734,SF,22,-2.85,-2.06,-0.79,-0.3,-1.91,-1.67,-0.24
