Team,Season,Player1,Player2,Arch1,Arch2,Lebron1,Lebron2,WinsAdded1,WinsAdded2,MPG1,MPG2,PM0,PM1,PM2,PM3
SAC,2012,Jason Thompson,DeMarcus Cousins,Post Scorer,Post Scorer,1.79,1.17,4.6,4.6,25.9,30.5,,,,
SAS,2012,Tony Parker,Tim Duncan,Primary Ball Handler,Post Scorer,4.1,4.8,8.4,7.9,32.1,28.2,,,,
TOR,2012,Jose Calderon,Amir Johnson,Primary Ball Handler,Roll + Cut Big,1.56,0.5,4.7,2.9,33.9,24.3,,,,
UTA,2012,Paul Millsap,Al Jefferson,Post Scorer,Post Scorer,3.57,2.23,8.4,6.4,32.8,34.0,,,,
WAS,2012,John Wall,Kevin Seraphin,Shot Creator,Post Scorer,0.76,0.16,4.9,1.9,36.2,20.6,,,,
ATL,2013,Al Horford,Josh Smith,Post Scorer,Post Scorer,1.91,1.71,7.9,7.3,37.2,35.3,,,,
BOS,2013,Paul Pierce,Kevin Garnett,Secondary Ball Handler,Post Scorer,2.77,2.74,8.9,6.9,33.4,29.7,,,,
BRK,2013,Deron Williams,Brook Lopez,Secondary Ball Handler,Post Scorer,2.76,2.79,9.8,7.8,36.4,30.4,,,,
CHA,2013,Kemba Walker,Michael KiddGilchrist,Primary Ball Handler,Athletic Finisher,0.23,-0.2,4.9,2.8,34.9,26.0,,,,
CHI,2013,Joakim Noah,Luol Deng,Athletic Finisher,Athletic Finisher,2.44,0.19,7.8,4.9,36.8,38.7,,,,
CLE,2013,Kyrie Irving,Tristan Thompson,Shot Creator,Post Scorer,0.48,-0.19,3.8,3.6,34.7,31.3,,,,
DAL,2013,Vince Carter,Dirk Nowitzki,Secondary Ball Handler,Post Scorer,2.91,2.34,7.4,5.2,25.8,31.3,,,,
DEN,2013,Andre Iguodala,Danilo Gallinari,Shot Creator,Shot Creator,2.51,2.79,9.1,8.0,34.7,32.5,,,,
DET,2013,Greg Monroe,Andre Drummond,Post Scorer,Roll + Cut Big,0.55,1.71,5.2,3.4,33.2,20.7,,,,
